step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,balance_change_orig,balance_change_dest,amount_to_balance_ratio,zero_balance_after,type_encoded,fraud_probability,uncertainty,ci_lower_90,ci_upper_90,recommendation,attention_reallocated
158,TRANSFER,1962590.7,C762667521,21444.0,0.0,C1966320230,1114409.77,3077000.48,0,0,-21444.0,1962590.71,91.51740265796222,1,4,0.0,0.0,0.0,0.0,CLEAR,0
282,PAYMENT,6820.87,C1941904069,160.0,0.0,M530836024,0.0,0.0,0,0,-160.0,0.0,42.36565217391304,1,3,0.0,0.0,0.0,0.0,CLEAR,0
209,CASH_OUT,119403.49,C1034331089,0.0,0.0,C580913459,847045.44,966448.93,0,0,0.0,119403.4900000001,119403.49,1,1,0.0,0.0,0.0,0.0,CLEAR,0
202,CASH_OUT,161588.26,C1556784053,275843.45,114255.19,C85545294,531956.02,693544.27,0,0,-161588.26,161588.25,0.5857948564852401,0,1,0.0,0.0,0.0,0.0,CLEAR,0
705,CASH_IN,330677.64,C738487677,70976.0,401653.64,C1030010846,0.0,0.0,0,0,330677.64,0.0,4.658940783634135,0,0,0.0,0.0,0.0,0.0,CLEAR,0
616,CASH_OUT,7240965.96,C686995087,7240965.96,0.0,C893411806,0.0,7240965.96,1,0,-7240965.96,7240965.96,0.9999998618968978,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
687,CASH_OUT,103725.44,C2052524742,9939.0,0.0,C1301592202,0.0,103725.44,0,0,-9939.0,103725.44,10.435154929577465,1,1,0.0,0.0,0.0,0.0,CLEAR,0
210,CASH_OUT,199978.48,C1557789729,51708.0,0.0,C448461521,15612.75,215591.24,0,0,-51708.0,199978.49,3.867382467268754,1,1,0.0,0.0,0.0,0.0,CLEAR,0
229,CASH_OUT,61054.5,C930155177,10952.0,0.0,C1746261400,797316.21,858370.72,0,0,-10952.0,61054.51000000001,5.574226239386469,1,1,0.0,0.0,0.0,0.0,CLEAR,0
694,CASH_OUT,6204.71,C22483962,6204.71,0.0,C377452670,0.0,6204.71,1,0,-6204.71,6204.71,0.999838858083926,1,1,0.995,0.07053367989832957,0.985,1.0,INVESTIGATE,1
162,CASH_IN,349246.87,C658919075,1955141.54,2304388.41,C900038557,814036.71,464789.83,0,0,349246.8700000001,-349246.87999999995,0.1786298762646737,0,0,0.0,0.0,0.0,0.0,CLEAR,0
36,PAYMENT,32.58,C581432981,351600.57,351567.99,M1292891391,0.0,0.0,0,0,-32.5800000000163,0.0,9.26617022785194e-05,0,3,0.0,0.0,0.0,0.0,CLEAR,0
393,TRANSFER,108191.76,C1581692142,0.0,0.0,C855747387,149970.21,258161.97,0,0,0.0,108191.76,108191.76,1,4,0.0,0.0,0.0,0.0,CLEAR,0
158,CASH_OUT,295237.31,C626011183,0.0,0.0,C1023837210,840722.39,1135959.7,0,0,0.0,295237.30999999994,295237.31,1,1,0.0,0.0,0.0,0.0,CLEAR,0
11,CASH_IN,155528.4,C1194675782,178.0,155706.4,C1460920929,20668.65,0.0,0,0,155528.4,-20668.65,868.8737430167597,0,0,0.0,0.0,0.0,0.0,CLEAR,0
225,CASH_IN,25294.98,C911849484,8029583.34,8054878.33,C1341006536,131587.11,106292.12,0,0,25294.990000000224,-25294.98999999999,0.0031502228420456,0,0,0.0,0.0,0.0,0.0,CLEAR,0
200,CASH_OUT,7482670.24,C782470219,7482670.24,0.0,C13429851,2097169.4,9579839.64,1,0,-7482670.24,7482670.24,0.9999998663578864,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
303,PAYMENT,95998.01,C511523117,15760.0,0.0,M1009027596,0.0,0.0,0,0,-15760.0,0.0,6.090857813590508,1,3,0.0,0.0,0.0,0.0,CLEAR,0
358,CASH_OUT,1438737.78,C498447652,1438737.78,0.0,C17820769,7014552.73,8453290.51,1,0,-1438737.78,1438737.779999999,0.9999993049467952,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
162,CASH_OUT,263994.64,C1047272763,246090.0,0.0,C2111269306,0.0,263994.64,0,0,-246090.0,263994.64,1.072752112023601,1,1,0.025,0.1561249499599603,0.009750000000000002,0.05,CLEAR,0
133,CASH_OUT,91499.32,C1516832913,11709.0,0.0,C1311480607,3338160.87,3429660.19,0,0,-11709.0,91499.31999999985,7.813776259607174,1,1,0.0,0.0,0.0,0.0,CLEAR,0
332,CASH_IN,52276.24,C75394319,3329635.43,3381911.67,C1649791143,300444.42,367124.9,0,0,52276.23999999976,66680.48000000004,0.0157002847304863,0,0,0.0,0.0,0.0,0.0,CLEAR,0
276,CASH_OUT,107751.96,C1767808618,0.0,0.0,C991457258,939322.52,1047074.49,0,0,0.0,107751.96999999996,107751.96,1,1,0.0,0.0,0.0,0.0,CLEAR,0
650,CASH_OUT,71666.93,C1927136049,71666.93,0.0,C267842927,83551.03,155217.96,1,0,-71666.93,71666.93,0.9999860467575944,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
397,CASH_OUT,264674.52,C1302268222,2173.0,0.0,C1524328101,26508.2,291182.72,0,0,-2173.0,264674.52,121.74540938362466,1,1,0.0,0.0,0.0,0.0,CLEAR,0
186,PAYMENT,9448.48,C1384875206,108425.26,98976.77,M2038203240,0.0,0.0,0,0,-9448.48999999999,0.0,0.0871419894036739,0,3,0.0,0.0,0.0,0.0,CLEAR,0
40,CASH_OUT,40022.77,C834125998,169504.04,129481.27,C1410151043,19028.5,0.0,0,0,-40022.77,-19028.5,0.2361155160932087,0,1,0.02,0.13999999999999987,0.005,0.035,CLEAR,0
393,CASH_OUT,278923.98,C1322444212,236.0,0.0,C1282501089,500571.28,779495.26,0,0,-236.0,278923.98,1176.8944303797468,1,1,0.0,0.0,0.0,0.0,CLEAR,0
347,PAYMENT,22489.72,C870653026,0.0,0.0,M341920925,0.0,0.0,0,0,0.0,0.0,22489.72,1,3,0.0,0.0,0.0,0.0,CLEAR,0
335,PAYMENT,257.45,C1502231759,49503.0,49245.55,M1712012548,0.0,0.0,0,0,-257.4499999999971,0.0,0.0052005898513251,0,3,0.0,0.0,0.0,0.0,CLEAR,0
350,CASH_OUT,136124.09,C786407396,4082.0,0.0,C1312661308,822766.7,958890.79,0,0,-4082.0,136124.09000000008,33.33923340680872,1,1,0.0,0.0,0.0,0.0,CLEAR,0
397,PAYMENT,44555.22,C1439707752,46685.0,2129.78,M1420216134,0.0,0.0,0,0,-44555.22,0.0,0.9543593368461638,0,3,0.0,0.0,0.0,0.0,CLEAR,0
9,CASH_OUT,244068.01,C507466068,244068.01,0.0,C706331499,0.0,338538.16,1,0,-244068.01,338538.16,0.9999959027981472,1,1,0.97,0.17058722109231958,0.95475,0.99,INVESTIGATE,1
181,CASH_OUT,648702.06,C1765522931,476.0,0.0,C725282450,110299.99,759002.05,0,0,-476.0,648702.06,1359.962389937107,1,1,0.0,0.0,0.0,0.0,CLEAR,0
254,CASH_IN,49252.66,C934079370,272.0,49524.66,C1157104669,0.0,0.0,0,0,49252.66,0.0,180.412673992674,0,0,0.0,0.0,0.0,0.0,CLEAR,0
158,TRANSFER,43363.09,C678737176,0.0,0.0,C529350444,397828.95,441192.05,0,0,0.0,43363.09999999998,43363.09,1,4,0.0,0.0,0.0,0.0,CLEAR,0
225,PAYMENT,12842.95,C1575132988,0.0,0.0,M887654690,0.0,0.0,0,0,0.0,0.0,12842.95,1,3,0.0,0.0,0.0,0.0,CLEAR,0
75,CASH_OUT,755813.12,C127671231,755813.12,0.0,C974221574,494575.27,1250388.38,1,0,-755813.12,755813.1099999999,0.9999986769233684,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
183,CASH_OUT,126514.9,C495901700,0.0,0.0,C1395254289,311603.11,438118.0,0,0,0.0,126514.89,126514.9,1,1,0.0,0.0,0.0,0.0,CLEAR,0
398,TRANSFER,924802.67,C303304821,0.0,0.0,C1679254873,9890633.37,10815436.04,0,0,0.0,924802.67,924802.67,1,4,0.0,0.0,0.0,0.0,CLEAR,0
12,PAYMENT,1133.76,C949407524,0.0,0.0,M73746806,0.0,0.0,0,0,0.0,0.0,1133.76,1,3,0.0,0.0,0.0,0.0,CLEAR,0
404,CASH_OUT,499068.48,C832615682,0.0,0.0,C729683244,1891359.25,2390427.73,0,0,0.0,499068.48,499068.48,1,1,0.0,0.0,0.0,0.0,CLEAR,0
189,PAYMENT,4515.48,C1479642989,4178.0,0.0,M745709106,0.0,0.0,0,0,-4178.0,0.0,1.0805168700646086,1,3,0.0,0.0,0.0,0.0,CLEAR,0
297,CASH_OUT,166789.82,C1252978671,39962.0,0.0,C1509983065,0.0,166789.82,0,0,-39962.0,166789.82,4.173606085629207,1,1,0.0,0.0,0.0,0.0,CLEAR,0
633,CASH_OUT,4128853.75,C2094498681,4128853.75,0.0,C72348796,13982778.91,18111632.66,1,0,-4128853.75,4128853.75,0.9999997578020878,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
263,TRANSFER,24873.02,C846528793,0.0,0.0,C2045050643,144148.65,169021.67,0,0,0.0,24873.02000000002,24873.02,1,4,0.0,0.0,0.0,0.0,CLEAR,0
235,CASH_IN,70840.09,C302230842,12081.0,82921.09,C1345681763,150.0,0.0,0,0,70840.09,-150.0,5.863275120013243,0,0,0.0,0.0,0.0,0.0,CLEAR,0
93,PAYMENT,16709.59,C1975842913,0.0,0.0,M655049661,0.0,0.0,0,0,0.0,0.0,16709.59,1,3,0.0,0.0,0.0,0.0,CLEAR,0
206,PAYMENT,6587.26,C283296876,169.0,0.0,M1383097722,0.0,0.0,0,0,-169.0,0.0,38.74858823529412,1,3,0.0,0.0,0.0,0.0,CLEAR,0
139,PAYMENT,9663.88,C1387298776,37586.0,27922.12,M276970901,0.0,0.0,0,0,-9663.88,0.0,0.2571069784766009,0,3,0.0,0.0,0.0,0.0,CLEAR,0
381,CASH_OUT,100747.71,C1780892021,15096.0,0.0,C1420080324,361447.77,462195.48,0,0,-15096.0,100747.70999999996,6.673359607869114,1,1,0.0,0.0,0.0,0.0,CLEAR,0
15,PAYMENT,2774.35,C1969139647,413197.34,410422.99,M1991936348,0.0,0.0,0,0,-2774.350000000035,0.0,0.0067143299752849,0,3,0.0,0.0,0.0,0.0,CLEAR,0
239,PAYMENT,25353.22,C1588008227,0.0,0.0,M1824706195,0.0,0.0,0,0,0.0,0.0,25353.22,1,3,0.0,0.0,0.0,0.0,CLEAR,0
330,CASH_IN,129124.06,C932060012,51521.0,180645.06,C744068837,66567.96,0.0,0,0,129124.06,-66567.96,2.506192694382982,0,0,0.0,0.0,0.0,0.0,CLEAR,0
17,CASH_OUT,301866.85,C1774659862,53837.0,0.0,C721923577,157364.74,459231.59,0,0,-53837.0,301866.85000000003,5.606947694936661,1,1,0.0,0.0,0.0,0.0,CLEAR,0
299,CASH_OUT,482818.2,C1897335945,0.0,0.0,C180868146,8945585.47,9428403.67,0,0,0.0,482818.19999999925,482818.2,1,1,0.0,0.0,0.0,0.0,CLEAR,0
179,CASH_IN,387471.45,C1668334374,23488189.63,23875661.08,C463372585,2232695.07,1845223.62,0,0,387471.44999999925,-387471.4499999997,0.0164964367031791,0,0,0.0,0.0,0.0,0.0,CLEAR,0
207,CASH_OUT,265164.77,C240251411,15399.0,0.0,C1272893647,2640299.67,2905464.44,0,0,-15399.0,265164.77,17.21849155844156,1,1,0.0,0.0,0.0,0.0,CLEAR,0
373,CASH_IN,382220.41,C1449563270,78705.0,460925.41,C400734965,21764.99,0.0,0,0,382220.41,-21764.99,4.856305872487485,0,0,0.0,0.0,0.0,0.0,CLEAR,0
256,CASH_IN,299329.72,C268725274,5073745.12,5373074.84,C1259309133,1493611.79,1194282.07,0,0,299329.71999999974,-299329.72,0.0589958017055847,0,0,0.0,0.0,0.0,0.0,CLEAR,0
33,CASH_OUT,9887819.06,C1071702423,9887819.06,0.0,C28783325,801913.95,10165200.11,1,0,-9887819.06,9363286.16,0.9999998988654736,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
355,CASH_OUT,2209.28,C1006394086,54606.0,52396.72,C1160613778,240489.31,242698.59,0,0,-2209.279999999999,2209.279999999999,0.0404578167634186,0,1,0.0,0.0,0.0,0.0,CLEAR,0
164,CASH_IN,53298.17,C874368711,16121.0,69419.17,C826555147,2731465.3,2678167.13,0,0,53298.17,-53298.169999999925,3.3059279245751148,0,0,0.0,0.0,0.0,0.0,CLEAR,0
350,CASH_OUT,301174.41,C341431054,1921.0,0.0,C1880832297,8329453.7,8630628.11,0,0,-1921.0,301174.4099999992,156.69844432882414,1,1,0.0,0.0,0.0,0.0,CLEAR,0
394,CASH_OUT,98383.27,C244095702,54044.0,0.0,C1698478931,3328962.73,3427346.0,0,0,-54044.0,98383.27000000002,1.8203954112313807,1,1,0.0,0.0,0.0,0.0,CLEAR,0
399,CASH_OUT,90183.6,C208795360,0.0,0.0,C1843784543,287766.53,377950.14,0,0,0.0,90183.61,90183.6,1,1,0.0,0.0,0.0,0.0,CLEAR,0
258,CASH_OUT,40044.99,C617651716,0.0,0.0,C526630944,3145423.98,3185468.97,0,0,0.0,40044.99000000022,40044.99,1,1,0.0,0.0,0.0,0.0,CLEAR,0
96,PAYMENT,1814.29,C2105548989,30153.0,28338.71,M2101421586,0.0,0.0,0,0,-1814.2900000000009,0.0,0.0601674736353385,0,3,0.0,0.0,0.0,0.0,CLEAR,0
400,PAYMENT,21950.28,C160861513,0.0,0.0,M918641997,0.0,0.0,0,0,0.0,0.0,21950.28,1,3,0.0,0.0,0.0,0.0,CLEAR,0
17,CASH_IN,129394.26,C661604966,0.0,129394.26,C2044086765,991810.2,862415.94,0,0,129394.26,-129394.26,129394.26,0,0,0.0,0.0,0.0,0.0,CLEAR,0
37,PAYMENT,36785.06,C128790272,298.0,0.0,M1356369212,0.0,0.0,0,0,-298.0,0.0,123.02695652173912,1,3,0.0,0.0,0.0,0.0,CLEAR,0
644,TRANSFER,5248882.22,C820008788,0.0,0.0,C1670545931,10863022.29,16111904.51,0,0,0.0,5248882.220000001,5248882.22,1,4,0.0,0.0,0.0,0.0,CLEAR,0
39,CASH_OUT,478653.93,C1091762546,25068.0,0.0,C711613732,3278739.92,3757393.86,0,0,-25068.0,478653.94,19.0934592524632,1,1,0.0,0.0,0.0,0.0,CLEAR,0
227,CASH_OUT,255071.31,C8619159,0.0,0.0,C13475236,1421962.98,1543997.67,0,0,0.0,122034.68999999994,255071.31,1,1,0.0,0.0,0.0,0.0,CLEAR,0
373,PAYMENT,17345.26,C599966227,7264.04,0.0,M92075122,0.0,0.0,0,0,-7264.04,0.0,2.3874968341537004,1,3,0.0,0.0,0.0,0.0,CLEAR,0
387,TRANSFER,143501.7,C1638922233,143501.7,0.0,C1462968969,0.0,0.0,1,0,-143501.7,0.0,0.99999303149,1,4,1.0,0.0,1.0,1.0,INVESTIGATE,1
283,PAYMENT,1984.14,C1128340992,0.0,0.0,M1819496856,0.0,0.0,0,0,0.0,0.0,1984.14,1,3,0.0,0.0,0.0,0.0,CLEAR,0
237,CASH_OUT,505530.32,C1058786823,0.0,0.0,C146187337,2587408.27,3092938.59,0,0,0.0,505530.31999999983,505530.32,1,1,0.0,0.0,0.0,0.0,CLEAR,0
234,CASH_OUT,150564.44,C1053180818,0.0,0.0,C124540047,10975030.66,11125595.1,0,0,0.0,150564.43999999948,150564.44,1,1,0.0,0.0,0.0,0.0,CLEAR,0
140,TRANSFER,595.93,C686879891,0.0,0.0,C1486765408,202775.19,203371.12,0,0,0.0,595.929999999993,595.93,1,4,0.01,0.09949874371066195,0.0,0.025,CLEAR,0
180,PAYMENT,29722.04,C839524110,468173.01,438450.97,M2017979170,0.0,0.0,0,0,-29722.04000000004,0.0,0.0634850277143748,0,3,0.0,0.0,0.0,0.0,CLEAR,0
526,TRANSFER,189564.15,C809446503,0.0,0.0,C416208724,284063.62,473627.77,0,0,0.0,189564.15,189564.15,1,4,0.0,0.0,0.0,0.0,CLEAR,0
350,CASH_IN,67764.66,C443651446,5562264.05,5630028.71,C2073862314,388626.14,320861.48,0,0,67764.66000000015,-67764.66000000003,0.0121829253713826,0,0,0.0,0.0,0.0,0.0,CLEAR,0
227,CASH_OUT,296859.25,C297862008,30485.0,0.0,C364252032,381125.97,677985.22,0,0,-30485.0,296859.25,9.737559863543922,1,1,0.0,0.0,0.0,0.0,CLEAR,0
135,CASH_IN,165562.66,C690587146,1096682.76,1262245.42,C203008558,771631.52,606068.86,0,0,165562.65999999992,-165562.66000000003,0.1509666378209156,0,0,0.0,0.0,0.0,0.0,CLEAR,0
203,CASH_IN,48646.25,C1173049835,1195.0,49841.25,C1870996047,1372310.57,1323664.33,0,0,48646.25,-48646.23999999999,40.674122073578594,0,0,0.0,0.0,0.0,0.0,CLEAR,0
156,PAYMENT,7264.94,C27841757,87587.0,80322.06,M1574015912,0.0,0.0,0,0,-7264.940000000002,0.0,0.0829444672786226,0,3,0.0,0.0,0.0,0.0,CLEAR,0
380,CASH_IN,43749.23,C928357664,6776671.49,6820420.71,C560346439,729111.26,685362.04,0,0,43749.21999999974,-43749.21999999997,0.0064558572167326,0,0,0.0,0.0,0.0,0.0,CLEAR,0
283,CASH_OUT,164892.45,C601519860,22491.0,0.0,C1433334090,2974892.22,3139784.67,0,0,-22491.0,164892.44999999972,7.331159967988619,1,1,0.0,0.0,0.0,0.0,CLEAR,0
404,PAYMENT,31648.17,C689454963,2373.84,0.0,M1917635539,0.0,0.0,0,0,-2373.84,0.0,13.326443044584057,1,3,0.0,0.0,0.0,0.0,CLEAR,0
33,PAYMENT,487.26,C1298079169,108372.0,107884.74,M500765387,0.0,0.0,0,0,-487.2599999999948,0.0,0.0044961383370396,0,3,0.0,0.0,0.0,0.0,CLEAR,0
328,CASH_IN,62739.35,C982942621,3679549.52,3742288.87,C483800850,3160435.05,3097695.7,0,0,62739.35000000009,-62739.34999999963,0.017050819022319,0,0,0.0,0.0,0.0,0.0,CLEAR,0
225,PAYMENT,51680.36,C762008643,0.0,0.0,M1157031764,0.0,0.0,0,0,0.0,0.0,51680.36,1,3,0.0,0.0,0.0,0.0,CLEAR,0
406,CASH_IN,11431.64,C1303336745,20096.0,31527.64,C1499888081,575191.68,563760.04,0,0,11431.64,-11431.640000000014,0.568823207443897,0,0,0.0,0.0,0.0,0.0,CLEAR,0
403,TRANSFER,321471.61,C1497958495,30180.0,0.0,C1363134341,0.0,321471.61,0,0,-30180.0,321471.61,10.651456545508765,1,4,0.0,0.0,0.0,0.0,CLEAR,0
136,CASH_OUT,338075.15,C1648032971,10749.0,0.0,C1848088955,136979.95,823405.79,0,0,-10749.0,686425.8400000001,31.4488511627907,1,1,0.0,0.0,0.0,0.0,CLEAR,0
327,CASH_OUT,227643.76,C1960146350,0.0,0.0,C824116579,803268.1,1030911.86,0,0,0.0,227643.76,227643.76,1,1,0.0,0.0,0.0,0.0,CLEAR,0
260,CASH_IN,40262.87,C1154851233,5463933.48,5504196.34,C809565809,53126.86,12863.99,0,0,40262.85999999941,-40262.87,0.0073688420216927,0,0,0.0,0.0,0.0,0.0,CLEAR,0
207,TRANSFER,28247.18,C1696089320,0.0,0.0,C2104828062,586789.9,615037.08,0,0,0.0,28247.17999999993,28247.18,1,4,0.0,0.0,0.0,0.0,CLEAR,0
404,TRANSFER,292202.68,C1088022492,171335.0,0.0,C359042799,37977.3,330179.98,0,0,-171335.0,292202.68,1.7054365690806368,1,4,0.0,0.0,0.0,0.0,CLEAR,0
329,CASH_IN,194116.45,C747855544,6303.0,200419.45,C161647177,550940.25,356823.8,0,0,194116.45,-194116.45,30.79258407360406,0,0,0.0,0.0,0.0,0.0,CLEAR,0
237,CASH_OUT,368076.17,C633068842,0.0,0.0,C903323400,2402787.07,2770863.23,0,0,0.0,368076.16000000015,368076.17,1,1,0.0,0.0,0.0,0.0,CLEAR,0
402,CASH_OUT,29587.74,C1791665552,0.0,0.0,C58866828,557536.1,587123.84,0,0,0.0,29587.73999999999,29587.74,1,1,0.0,0.0,0.0,0.0,CLEAR,0
182,CASH_OUT,179338.31,C1821517251,26422.0,0.0,C423276285,30303.0,0.0,0,0,-26422.0,-30303.0,6.787204708019528,1,1,0.0,0.0,0.0,0.0,CLEAR,0
503,CASH_OUT,993088.06,C1414793795,993088.06,0.0,C1137450827,244746.61,1237834.66,1,0,-993088.06,993088.05,0.9999989930409664,1,1,1.0,0.0,1.0,1.0,INVESTIGATE,1
204,CASH_OUT,249160.93,C1368468450,203133.88,0.0,C1572112586,8028253.02,8277413.96,0,0,-203133.88,249160.9400000004,1.2265787638243122,1,1,0.0,0.0,0.0,0.0,CLEAR,0
596,PAYMENT,3029.6,C726087598,4663.12,1633.52,M2131324731,0.0,0.0,0,0,-3029.6,0.0,0.6495544711542585,0,3,0.0,0.0,0.0,0.0,CLEAR,0
191,CASH_IN,49103.21,C204889558,3572209.29,3621312.5,C478442921,485024.07,435920.86,0,0,49103.20999999996,-49103.21000000002,0.0137458900830835,0,0,0.0,0.0,0.0,0.0,CLEAR,0
349,PAYMENT,86597.31,C70956688,10036.0,0.0,M1315947217,0.0,0.0,0,0,-10036.0,0.0,8.627808109993026,1,3,0.0,0.0,0.0,0.0,CLEAR,0
19,CASH_OUT,54063.13,C1875810849,56358.0,2294.87,C1197604401,110915.52,181555.09,0,0,-54063.13,70639.56999999999,0.9592634716726698,0,1,0.0,0.0,0.0,0.0,CLEAR,0
163,CASH_IN,5976.15,C145293145,17687484.48,17693460.63,C433586605,177434.3,176093.56,0,0,5976.14999999851,-1340.7399999999907,0.0003378744823144,0,0,0.0,0.0,0.0,0.0,CLEAR,0
18,CASH_OUT,136601.34,C837352985,73756.0,0.0,C961375894,0.0,136601.34,0,0,-73756.0,136601.34,1.8520457719267325,1,1,0.0,0.0,0.0,0.0,CLEAR,0
